column,value_a,count_a,value_b,count_b,similarity
q3_30,VARIETY WOODS AND GREENHEART,4,VARIETY WOODS AND GREEBHEART LTD,1,0.962
q3_30,LITTLE ROCK TELEVISION STATION/ HOTEL,1,LITTLE ROCK TELEVISION STATION,1,0.962
q3_30,PRETTY PAUL INVESTMENT,1,PRETTIPAUL INVESTMENT,1,0.962
q3_30,REGIONAL DEMOCRATIC COUNCIL,17,REGIONAL DEMOCRATIV COUNCIL,1,0.962
q3_30,HAKH RICE MILL,4,HAWK RICE MILL,2,0.962
q3_30,BOSAI MINERALS GROUP GUYANA INC.,1,BOSAI MINERAL GROUP GUYANA,1,0.962
q3_30,NEIGHBOURHOOD DEMOCRATIC COUNCIL,3,NEIGHBOUHOOD DEMOCRATIC COUNCIL,1,0.961
q3_30,ALWIN'S  CONSTRUCTION,1,ALVIN'S CONSTRUCTION,1,0.961
q3_30,ROSEHALL ESTATE,14,ROSE HALL ESTATE,7,0.961
q3_30,DEMERARA DISTILLERS LIMITED,2,DEMERARA DISTILE  LIMITED,1,0.961
q3_30,PRITPAUL INVESTMENT,1,PRETTIPAUL INVESTMENT,1,0.961
q3_30,CHARLE'S CONSULTING AGENCY,1,CHARLE'S CONSULTANT AGENCY,1,0.961
q3_30,MADIA,1,MADHIA,1,0.961
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON A TRUCK",1,0.961
q3_30,ROMEL'S TAXI SERVICE,1,RONDEL'S TAXI SERVICE,1,0.961
q3_30,UNKNOW,1,UNKOWN,1,0.961
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT EMPLOYER HOME",3,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,0.961
q3_30,PRETTY PAUL FISHERY,3,PRETTY PAUL FISHERIES,2,0.961
q3_30,NARIE,1,NARI,1,0.96
q3_30,KWAKWANI WATER FRONT ROAD,2,KWAKWANI WATER FRONT,1,0.96
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,"NO OFFICIAL BUSINESS NAME, JUST WORKS ON SITE",1,0.96
q3_30,WAKAPOA SECONDARY SCHOOL DORMS,1,WAKAPOA SECONDARY SCHOOL,1,0.96
q3_30,NO OFFICIAL BUSINESS NAME JUST A SMALL TIME CONTRACTION TRADES MAN,1,"NO OFFICIAL BUSINESS NAME, JUST A SMALL TIME CONTRACTION WORK",1,0.96
q3_30,JAI RICE FARM,1,JUMAI RICE FARM,1,0.96
q3_30,BDIHL,1,BDIH,1,0.96
q3_30,ROSEHALL CANJI ESTATE,1,ROSEHALLCANJI ESTATE,1,0.96
q3_30,GUYANA SUGWR CORPORATION ( GUYSUCO),1,GUYANA SUGAR CORPORATION  (GUYSUCO),1,0.959
q3_30,MAHDIA DISTRICT HOSPITAL,1,MAHDIA  DISTRICT HOSPITAL,1,0.959
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GUYANA SUGWR CORPORATION ( GUYSUCO),1,0.958
q3_30,GUYANA SUGAR CORPORATION ( GUYSUCO),1,GUYANA SUGSR CORPORATION (GUYSUCO),1,0.958
q3_30,TELEPERFORMANCE,3,TELEPERFORMANCE INC,1,0.958
q3_30,GUYANA SUGAR COOPERATION,27,GUYANA SUFAR CORPORATION,1,0.958
q3_30,PRITIPAUL INVESTMENT,1,PRITPAUL INVESTMENT,1,0.958
q3_30,RUBEN MINING LTD,6,BEN MINING LTD,2,0.958
q3_30,NAND PERSAUD AND COMPANY,4,NAND PERSAUD AND CO,1,0.958
q3_30,NOBLE HOUSE SEAFOOD,1,NOBLE HOUSE SEAFOODS LTD,1,0.958
q3_30,GUYANA TELEPHONE AND TELEGRAPH,2,GUYANA TELEPHONE AND TELEGRAPH COMPANY,1,0.958
q3_30,RETIKA CONSTRUCTION,1,RETIKA CONSTRUCTION FIRM,1,0.958
q3_30,GUYANA SUAGR COOPERATION,1,GUYANA SUFAR CORPORATION,1,0.958
q3_30,MAYOR CITY COUNCIL,1,MAYOR & CITY COUNCIL,1,0.958
q3_30,DEMERARA DISTIL LIMITED,1,DEMERARA DISTILE  LIMITED,1,0.958
q3_30,GUYANA WATER INCOPERATED,1,GUYANA WATER INCORPORATED,1,0.958
q3_30,TOOLSIE PERSAUD,1,TOOLSIE PERSAUD LTD,1,0.958
q3_30,JACK MINING LIMITED,1,JACK MINING LTD,1,0.958
q3_30,GUYANA SUGSR CORPORATION (GUYSUCO),1,GUYANA SUGAR CORPORATION  (GUYSUCO),1,0.958
q3_30,SELF EMPLOY,28,SELF  EMPLOYED,1,0.957
q3_30,MINISTRY OF AGRICULTURE,4,MINISTRY OF ARGRICULTURE,1,0.957
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON A TRUCK",1,"NO OFFICIAL BUSINESS NAME, JUST WORKS ON SITE",1,0.957
q3_30,CONSTRUCTION WORK,1,CONSTRUCYION WORKER,1,0.957
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT EMPLOYER HOME",3,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSONS HOME",1,0.957
q3_30,PRITIPAUL SINGH'S INVESTMENT,1,PRITIPAUL PAULSINGH'S INVESTMENT INC,1,0.956
q3_30,RK CONSTRUCTION,1,BK CONSTRUCTION,1,0.956
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT EMPLOYER HOME",3,NO OFFICIAL BUSINESS NAME JUST WORK AT PERSON HOME,1,0.956
q3_30,LOWER CORENTYNE SECONDARY SCHOOL,1,LOWER CORENTYNE SECONDARY,1,0.956
q3_30,FISHERMAN,2,FISHERMEN,1,0.956
q3_30,DEOMATTIE GROCERY SHOP,2,DEOMATTIE GROCERY STORE,1,0.956
q3_30,SELF-EMPLOYED,8,SELF  EMPLOYED,1,0.956
q3_30,REGIONAL DEMOCRATIC COUNCILS,1,REGIONAL DEMOCRATIC COUNCIL REG 6,1,0.956
q3_30,JOHN FERNANDEZ,1,JOHN FERNANCE,1,0.956
q3_30,R.SANMOOGAN GENERAL SUPPLIES,1,R.SANMOGAN GENERAL  SUPPLY,1,0.956
q3_30,NO OFFICIAL BUSINESS NAME JUST WORK AT PERSON HOME,1,NO OFFICIAL BUSINESS NAME JUST WORK AT EMPLOYER WORKSHOP,1,0.955
q3_30,TRANSPORT AND HARBOUR DEPARTMENT,1,TRANSPORT AND HABOURS DEPARTMENT,1,0.955
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GIYANA SUGAR CORPORATION (GUYSUCO),1,0.955
q3_30,VARIETY WOOD AND GREENHEART LTD,6,VAROETY WOODS AND GREENHEART LTD,1,0.955
q3_30,MAHAICONY HOSPITAL,2,MACHICONY HOSPITAL,1,0.955
q3_30,CENTRAL HOUSING PLANNING AUTHORITY,1,CENTRAL HOUSING AND PLANNING AUTHORITY,1,0.955
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,0.955
q3_30,REGIONAL DEMOCRATIV COUNCIL,1,REGIONAL DEMOCRATIC COUNCILS,1,0.955
q3_30,GUYSUCO (ALBION ESTATE),2,GUYSUCO(ALBION ESTATE),1,0.955
q3_30,RAMCHARRAM FISHING BOAT,1,RAMCHARRAN FISHING BOAT,1,0.955
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,0.955
q3_30,GUYANA POLICE FORCES,1,GUYANA POLICE FORCE #51,1,0.955
q3_30,VARIETY WOODS AND GREENHEART,4,VARIETY WOODS AND GEREENHEART LTD,1,0.955
q3_30,REGIONAL DEMOCRATIC COUNCIL,17,REGIONSL DEMOCRATIC COUNCIL,1,0.954
q3_30,ENMORE ESTATE GUYSUCO,6,ENMORE  ESTATE  GUYSUCO,1,0.954
q3_30,"NO OFFICIAL BUSINESS NAME,  WORKS AT A RESIDENCE",1,NO OFFICIAL BUSINESS NAME WORKS OUT OF A RESIDENCE,1,0.954
q3_30,BLAIR MOUNT ESTATE,8,BLAIRMOUNT ESTATE,2,0.954
q3_30,HOMESAFE SECURITY,6,HOME SAFE SECRUITY,1,0.954
q3_30,"NO OFFICIAL BUSINESS NAME, TAX FORM",1,"NO OFFICIAL BUSINESS NAME,  KEN FARM",1,0.954
q3_30,AMELIA'S WARD,2,ANELIA'S WARD,1,0.954
q3_30,NARIE,1,NAREI,1,0.953
q3_30,BANKS DIH LIMITED,4,BANKS DIH LTD,2,0.953
q3_30,REPUBLIC BANK,3,REPUBLIC BANK LTD,1,0.953
q3_30,BOSIA MINERALS GROUP GUYANA INC,2,BOSAI MINERAL GROUP GUYANA,1,0.953
q3_30,MINISTRY OF HEALTH-LINDEN HOSPITAL COMPLEX,2,MINISTRY OF HEALTH- LIINDEN HOSPITAL COMPLEX,1,0.953
q3_30,SELF-EMPLOYED,8,SELF EMPLOEYD,1,0.953
q3_30,GUYANA WATER INCOOPERATION,1,GUYANA WATER INCOPERATED,1,0.953
q3_30,DEMERARA BANK LTd,1,DEMERARA BANK,1,0.953
q3_30,BLAIR MOUNT ESTATE,8,BLAIRMONT ESTATE,1,0.953
q3_30,NAREI,1,NARI,1,0.953
q3_30,SELF-EMPLOYED,8,SELF EMLPOYED,1,0.953
q3_30,TRANSPORT AND HARBOURS,1,TRANSPORT AND HARBOURS POREKA,1,0.952
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSONS HOME",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,0.952
q3_30,RAMESH VEGETABLE FARM,1,JAMES VEGETABLE FARM,1,0.952
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON EMPLOYER BUS",1,0.952
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSONS HOME",1,0.952
q3_30,MARVIN'S CONSTRUCTION,1,ALVIN'S CONSTRUCTION,1,0.952
q3_30,QUALFON CALLING CENTER,2,QUALFON CALL CENTER,1,0.952
q3_30,QUEST MEDICAL CENTER,1,QUEDT MEDICAL CENTER,1,0.952
q3_30,SELF EMPLOY,28,SELF EMLPOYED,1,0.951
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WALK AND SELL",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,0.951
q3_30,SHARON CLOTHING SHOP,1,SHARON CLOTHING STORE,1,0.951
q3_30,MAHAICA VILLAGE,1,MAHAICONY VILLAGE,1,0.951
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,NO OFFICIAL BUSINESS NAME JUST WORK AT EMPLOYER WORKSHOP,1,0.951
q3_30,GUYANA SUGAR VORPORATION (GUYSUCO),1,GUYANA SUGSR CORPORATION (GUYSUCO),1,0.951
q3_30,GUYANA DEFENCE FORCE,27,GUYANA DEFEENCE FORCE,1,0.95
q3_30,NORVILLE'S FARM ESTB,1,NORVILLE'S FARM,1,0.95
q3_30,GUYANA TIMES LTD,1,GUYANA TIMES,1,0.95
q3_30,REGIONAL DEMOCRATIC COUNCIL,17,REGIONAL DEMOCRATIC COUNCIL REGION 5,1,0.95
q3_30,ARJUNE AND SONS,1,ARJUNE AND SONS FARM,1,0.95
q3_30,COMMUNITY INFRUSTRUCTURE IMPROVEMENT PROJECT,1,COMMUNITY INFRASTRUCTURE IMPROVEMENT PROJECT (CIIP),1,0.95
q3_30,GUYANA SUFAR CORPORATION,1,GUYANA SUGAR  COOPERATION,1,0.95
q3_31,RETAIL OF BEVERAGES AND OTHER ALCOHOL BEVERAGE,1,RETAIL OF BEVERAGES AND OTHER ALCOHOL BEVERAGES,1,0.996
q3_31,CONSTRUCTION OF HOUSES AND OTHER CONCRETE WORKS,4,CONSTRUCTION OF HOUSES AND OTHER CONCRETE WORK,2,0.996
q3_31,SELLING VEGETABLES AT STABROEK  MARKET,1,SELLING VEGETABLES AT STABROEK MARKET,1,0.995
q3_31,TOURISM AND HOSPITALIYT SERVICES,1,TOURISM AND HOSPITALITY SERVICES,1,0.994
q3_31,WASHING OF ALL TYPES OF VEHICLES,1,WASHING OF ALL TYPES OF VECHILES,1,0.994
q3_31,VEGETABLES PROVISION ETC,1,VEGETABLES PROVISIONS ETC,1,0.992
q3_31,DRAINAGE AND IRRIGATION,5,DRAINAGE AND IRRIGRATION,1,0.992
q3_31,TRANSPORTING PASSENGERS,13,TRANSPORTING  PASSENGERS,1,0.992
q3_31,CONSTRUCTION OF BUILDING,1,CONSTUCTION OF BUILDING,1,0.992
q3_31,CONSTRUCTION OF BUILDINGS,7,CONSTRUCTION OF BUILDING,1,0.992
q3_31,TRANSPORTATION SERVICES,18,TRANSPORTATION SERVICE,2,0.991
q3_31,BUILDING CONSTRUCTION,6,BUILDING/ CONSTRUCTION,1,0.991
q3_31,BUILDING OF HOUSES ECT,1,BUILDING OF HOUSES ETC,1,0.991
q3_31,GROCERIES AND BEVARGES,1,GROCERIES AND BEVAGES,1,0.991
q3_31,TRANSPORTING PASSENGERS,13,TRANSPORTING PASSENGER,1,0.991
q3_31,TRANSPORTATION BY LAND,4,TRANSPOTATION BY LAND,1,0.991
q3_31,CUSTOMER SERVICE VIA TELEPHONE AND INTERNET,1,CUSTOMERS SERVICE VIA TELEPHONE AND INTERNET,1,0.991
q3_31,GROCERIES AND BEVARGES,1,GROCERIES AND BEVARAGES,1,0.991
q3_31,VEGETABLES AND PEPPERS,4,VEGETABLES AND PEPPER,1,0.991
q3_31,BUILDING CONSTRUCTION,6,"BUILDING, CONSTRUCTION",1,0.991
q3_31,BABYSITTING SERVICE,1,BABYSITTING SERVICES,1,0.99
q3_31,REARING OF LIVESTOCK,2,REARING OF LIVESTOCKS,1,0.99
q3_31,GROWING OF CASH CROP,2,GROWING OF CASH CROPS,1,0.99
q3_31,PROVISION AND FRUITS,2,PROVISION AND FRIUTS,1,0.99
q3_31,RETAILING OF GROCERY,3,RETAILING OF GROCERYS,1,0.99
q3_31,HEALTH CARE SERVICES,5,HEALTH CARE SERVICE,1,0.99
q3_31,CONSTRUCTION OF BUILDING,1,CONTRUCTION OF BUILDING,1,0.99
q3_31,EDUCATION DELIVERY,1,EDUCATION  DELIVERY,1,0.989
q3_31,"LIVE STOCK,CASSAVA",1,"LIVESTOCK,CASSAVA",1,0.989
q3_31,SECURITY SERVICES,10,SECURITY  SERVICES,2,0.989
q3_31,CONSTRUCTION WORK,9,CONSTRUCTION  WORK,2,0.989
q3_31,BUILDING OF HOUSES,5,BUILDING OF HOUSE,4,0.989
q3_31,MOLASSES AND SUGAR,1,MOLASSES AND  SUGAR,1,0.989
q3_31,TELECOMMUNICATION,12,TELE COMMUNICATION,2,0.989
q3_31,SECONDARY EDUCATION,12,SECONDARY EDUATION,1,0.989
q3_31,CUSTOMERS SERVICE,2,CUSTOMER'S SERVICE,1,0.989
q3_31,BUILDING MATERIAL,1,BUILDING MATERIALS,1,0.989
q3_31,TELECOMMUNICATION,12,TELECOMMUNICATIONS,5,0.989
q3_31,SECONDARY EDUCATION,12,SECONDARY EDUCATON,1,0.989
q3_31,CLEANING SERVICES,4,CLEANING SERVICE,1,0.988
q3_31,SECURITY SERVICES,10,SECURITY SERVICE,8,0.988
q3_31,CUSTOMER SERVICE,5,CUSTOMER SERVICES,3,0.988
q3_31,HEALTH SERVICES,9,HEALTH  SERVICES,1,0.988
q3_31,FISH AND SHRIMP,6,FISH AND SHRIMPS,2,0.988
q3_31,GROCERY SERVICES,4,GROCERY SEVICES,1,0.988
q3_31,WASHING VEHICLES,2,WASHING VEHICLE,1,0.988
q3_31,CAR CARE PRODUCT,1,CAR CARE PRODUCTS,1,0.988
q3_31,MEDICAL SERVICES,2,MEDICAL SERVICE,1,0.988
q3_31,WASHING VEHICLES,2,WASHING  VEHICLES,1,0.988
q3_31,TELECOMMUNICATION,12,TELECOMUNICATION,1,0.988
q3_31,COMMUTER SERVICES,2,COMMUTER SERVICE,1,0.988
q3_31,MAKING FURNITURES,1,MAKING FURNITURE,1,0.988
q3_31,SECURITY GUARDS,2,SECURITY GUARD,1,0.987
q3_31,HEALTH SERVICES,9,HEALTH SERVICE,2,0.987
q3_31,BUILDING AND REPAIRING OF HOUSES,5,BUILDING AND REPARING OF HOUSES,1,0.987
q3_31,CARGO SHIPMENTS,1,CARGO SHIPMENT,1,0.987
q3_31,BUILDING HOUSES,11,BUILDING HOUSE,4,0.987
q3_31,FOOD AND DRINKS,3,FOOD AND DRINK,1,0.987
q3_31,SECONDARY EDUCATIONAL SERVICES,2,SECONDARY EDUCATION SERVICES,2,0.987
q3_31,POSTAL SERVICES,2,POSTAL SERVICE,1,0.987
q3_31,HEALTH SERVICE,2,HEALTH SERVICED,1,0.987
q3_31,SKILLS TRAINING,1,SKILL TRAINING,1,0.987
q3_31,PRIMARY EDUCATIONAL SERVICES,4,PRIMARY EDUCATION SERVICES,1,0.986
q3_31,TRANSPORTATION,67,TRANPORTATION,1,0.986
q3_31,"GREENS ,FRUITE",1,"GREENS, FRUITE",1,0.986
q3_31,BUILDING AND REPAIRING HOUSES,5,BUILDING AND REPARING HOUSES,1,0.986
q3_31,"FARINE,BANANA",1,"FARINE,BANANA,",1,0.986
q3_31,SECURITY SERVICES,10,SECRUITY SERVICES,1,0.986
q3_31,PROVIDE ELECTRICITY TO HOUSEHOLDS,1,PROBIDE ELECTRICITY TO HOUSEHOLDS,1,0.986
q3_31,PLANTAIN CHIP,1,PLANTAIN CHIPS,1,0.986
q3_31,HAIR DRESSING,5,HAIRDRESSING,3,0.985
q3_31,RICE MILLING,1,RICE MILLI NG,1,0.985
q3_31,TAXI SERVICES,2,TAXI SERVICE,2,0.985
q3_31,HOUSE KEEPING,3,HOUSEKEEPING,2,0.985
q3_31,FOOD SERVICE,3,FOOD SERVICES,2,0.985
q3_31,BLOCKS MAKING,3,BLOCK MAKING,2,0.985
q3_31,SALE OF FOODS,1,SALE OF FOOD,1,0.985
q3_31,CITRUS FRUITS,2,CITRUS FRUIT,2,0.985
q3_31,RETAIL SALE OF CLOTHING,2,RETAIL SALES OF CLOTHING.,1,0.984
q3_31,CONSTRUCTION OF BUILDINGS,7,CONSTUCTION OF BUILDING,1,0.984
q3_31,FISH STRIMP,1,FISH& STRIMP,1,0.983
q3_31,SOCIAL SECRUITY SERVICES,1,SOCIAL SECURITY SERVICE,1,0.983
q3_31,GROCERY SHOP,1,GROCRY SHOP,1,0.983
q3_31,LANDSCAPING,1,LANDSCRAPING,1,0.983
q3_31,AIR SERVICES,5,AIR SERVICE,2,0.983
q3_31,GROCERIES AND BEVAGES,1,GROCERIES AND BEVARAGES,1,0.983
q3_31,GOLD AND DIAMOND MINING,2,"GOLD AND DIAMOND,MINING",1,0.983
q3_31,BABY SITTING,4,BABYSITTING,2,0.983
q3_31,TRANSPORTING  PASSENGERS,1,TRANSPORTING PASSENGER,1,0.983
q3_31,CALL CENTRE,2,CALL CENTRES,2,0.983
q3_31,FISH STRIMP,1,"FISH STRIMP,",1,0.983
q3_31,TRANSPORTATION SERVICES,18,TRANSPORTATION SERVICRS,1,0.983
q3_31,Consturction,2,Construction,1,0.983
q3_31,GROCERY ETC,1,GROCERY  ETC,1,0.983
q3_31,CONSTRUCTION,100,CONSTRUTION,1,0.983
q3_31,MIXED CROP,1,MIXED CROPS,1,0.982
q3_31,FIBRE CROPS,16,FIBRE CROP,1,0.982
q3_31,POULTRY REARING,2,POLTRY REARING,1,0.982
q3_31,TRANSPORTATION BY LAND,4,TRANSPORTATION  BY LAND,1,0.982
q3_31,HEALTH CARE,43,HEALTHCARE,6,0.982
q3_31,CALL CENTER,3,CALL CENTRE,2,0.982
q3_31,GROCERIES AND BEVERAGES,14,GROCERIES AND BEVARGES,1,0.982
q3_31,ELECTRICITY,5,ELECTRICTY,2,0.982
q3_31,BUILDING/ CONSTRUCTION,1,"BUILDING, CONSTRUCTION",1,0.982
q3_31,TRANSPORTATION SERVICE,2,TRANSPORATION SERVICE,1,0.981
q3_31,PROTECTING PROPERTIES,2,PROTECTING PROPERITIES,1,0.981
q3_31,CATCHING FISH TO SELL,1,CATCHING FISH  TO SELL,1,0.981
q3_31,AGRICULTURAL RESEARCH,1,AGRICULTURAL RESAURCH,1,0.981
q3_31,CUTTING HAIR,4,CUTING HAIR,1,0.981
q3_31,CONSTRUCTION OF BUILDINGS,7,CONTRUCTION OF BUILDING,1,0.981
q3_31,FRUITS AND VEGETABLES,8,FRUITS ANF VEGETABLES,1,0.981
q3_31,FURNITURE,8,FURNITURES,3,0.98
q3_31,CONSTUCTION OF BUILDING,1,CONTRUCTION OF BUILDING,1,0.98
q3_31,VEGETABLES,34,VEGETABLE,4,0.98
q3_31,CLEANING OF TRENCH,2,CLEANING OF TRENCHES,2,0.98
q3_31,HOT SNACK,1,HOT SNACKS,1,0.98
q3_31,EDUCATIONAL SERVICES,15,EDUCATION SERVICES,10,0.98
q3_31,EDUCATION,132,EDUCATIONN,1,0.98
q3_31,Cash crop,22,Cash crops,6,0.98
q3_31,ELECTRICTY,2,ELECTRICY,2,0.98
q3_31,CASH CROP,22,CASH CROPS,9,0.98
q3_31,FOOD STUFF,3,FOODSTUFF,1,0.98
q3_31,CHILD CARE,3,CHILDCARE,1,0.98
q3_31,WASHING OF VEHICLES,2,WASHING  VEHICLES,1,0.979
q3_31,PRIMARY EDUCATIONAL SERVICES,4,PRIMARDY EDUCATIONAL SERVICES,1,0.979
q3_31,MECHANICAL SERVICES,4,MECHANIC SERVICES,1,0.979
q3_31,SHIPPING OF CARGOES,1,SHIPPING OF CARGO,1,0.979
q3_31,ALCOHOL BEVERAGES,4,ALCOHOLIC BEVERAGES,1,0.979
q3_31,CUSTOMERS SERVICE,2,CUSTOMERS  SERVICES,1,0.979
q3_31,BEVERAGES,30,BEVERAGE,5,0.978
q3_31,COSMETIC,2,COSMETICS,1,0.978
q3_31,AUDITING,2,AUDITTING,1,0.978
q3_31,SECURITY SERVICE,8,SECURITY  SERVICES,2,0.978
q3_31,BUILDING OF HOUSES,5,BUILDIBG OF HOUSES,1,0.978
q3_31,SECONDARY EDUCATON,1,SECONDARY EDUATION,1,0.978
q3_31,TELECOMMUNICATIONS,5,TELECOMUNICATION,1,0.978
q3_31,TELECOMMUNICATIONS,5,TELE COMMUNICATION,2,0.978
q3_31,HARDWARE,9,HARD WARE,1,0.978
q3_31,Cash crop,22,Cash corp,1,0.978
q3_31,CASH CROP,22,CASH CORP,1,0.978
q3_31,EDUCATION,132,EDUCATON,1,0.978
q3_31,JEWELLERY,2,JEWELLRY,1,0.978
q3_31,TELE COMMUNICATION,2,TELECOMUNICATION,1,0.978
q3_31,CONSTRUCTION OF BUILDINGS,7,"CONSTRUCTION OF BUILFINGS,",1,0.977
q3_31,GROWING LIVESTOCK  FOR SALE,1,GROWING LIVESTOCK FOR SALE,1,0.977
q3_31,SECURITY SERVICES,10,SECURUTY SERVICES,1,0.976
q3_31,WASHING VEHICLE,1,WASHING  VEHICLES,1,0.976
q3_31,CUSTOMER SERVICE,5,CUSTOMERS SERVICE,2,0.976
q3_31,SECURITY,49,SECUIRTY,1,0.975
q3_31,COCONUT,2,COCONUTS,1,0.975
q3_31,Security,5,Securtiy,1,0.975
q3_31,SEAFOODS,4,SEAFOOD,1,0.975
q3_31,ALCHOLIC BEVERAGES,1,ALCOHOLIC BEVERAGES,1,0.975
q3_31,BAUXITE,17,BAUXCITE,1,0.975
q3_31,Machanic,1,Machnic,1,0.975
q3_31,HARDWARE,9,HARDWEAR,1,0.975
q3_31,HEALTH SERVICE,2,HEALTH  SERVICES,1,0.975
q3_31,BUILDING CONSTRUCTION,6,BULDING CONSTRUCTION,1,0.974
q3_31,GROCERIES AND BEVERAGES,14,GROCERIES AND BEVARAGES,1,0.974
q3_31,BUILDING AND REPAIRING OF HOUSES,5,BUILDING AND REPAIRING HOUSES,5,0.974
q3_31,TRANSPORTATION SERVICE,2,TRANSPORTATION SERVICRS,1,0.974
q3_31,BUILDING AND REPARING OF HOUSES,1,BUILDING AND REPARING HOUSES,1,0.974
q3_31,AIR SERVICES,5,HAIR SERVICES,2,0.974
q3_31,PROVISION ESCHALLOT TOMATOES BANANA SUGARCANE,1,PROVISION ESCHALLOT TOMATOES SUGARCANE BANANA,1,0.973
q3_31,PROTECT AND SERVE,8,PROCTECT AND SERVE,1,0.973
q3_31,TRANSPOTATION BY LAND,1,TRANSPORTATION  BY LAND,1,0.973
q3_31,"CARPENTRY,MASON",1,CARPENTRY MASON,1,0.973
q3_31,SECURITY  SERVICES,2,SECRUITY SERVICES,1,0.973
q3_31,GROCERIES AND BEVERAGES,14,GROCERIES AND BEVAGES,1,0.973
q3_31,HEALTH SERVICES,9,HEALTH SERVICED,1,0.973
q3_31,TRANSPORTATION SERVICES,18,TRANSPORATION SERVICE,1,0.973
q3_31,DOMESTIC WORK,18,DOMESTIC WORKER,1,0.973
q3_31,CONSTRUCTION OF HOUSES,5,CONSRUCTION OF HOUSES,1,0.972
q3_31,SECURITY SERVICE,8,SECRUITY SERVICES,1,0.972
q3_31,CONSTRUCTING OF HOUSES AND BUILDINGS,1,CONSTRUCTION OF HOUSES AND BUILDINGS,1,0.972
q3_31,CONSTRUCTION OF BUILDINGS,7,CONSTRUCTION OF BUILDINGS ETC,2,0.972
q3_31,TRANSPORTATION OF PASENGERS BY LAND,1,TRANSPORTAION OF PASSENGERS BY LAND,1,0.971
q3_31,REPAIRING OF VEHICLES,4,REPAIRING VEHICLES,2,0.971
q3_31,ICICLES,2,ICICLE,1,0.971
q3_31,SECURITY,49,SECRUITY,1,0.971
q3_31,PROVIDING LAND TRANSPORTATION TO CUSTOMERS,2,PROVIDING LAND TRANSPORTATION FOR CUSTOMERS,1,0.971
q3_31,BUILDING OF BUILDINGS,2,BUILDING BUILDINGS,1,0.971
q3_31,SEAFOOD,1,SEA FOOD,1,0.971
q3_31,CLOTHES,9,CLOTHS,1,0.971
q3_31,BAUXITE,17,BAUXTIE,1,0.971
q3_31,BAUCITE,1,BAUXCITE,1,0.971
q3_31,PUTTING UP BUILDINGS,6,PUTTING UP A BUILDING,1,0.971
q3_31,SECUIRTY,1,SECRUITY,1,0.971
q3_31,TRANSPORTATION,67,TRANSPORTATIIN,1,0.971
q3_31,SHRIMP,1,SHRIMPS,1,0.971
q3_31,WIRING HOUSE,1,WIRING  HOUSES,1,0.971
q3_31,GROWING OF VEGETABLES,2,GROWING VEGETABLES,2,0.971
q3_31,LUMBER,22,LUMBERS,2,0.971
q3_31,TRANSPORTATION,67,TRANSPORTSTION,1,0.971
q3_31,FURNITURE,8,FUNITURE,1,0.97
q3_31,EDUCATIONAL SERVICES,15,EFUCATIONAL SERVICES,1,0.97
q3_31,GROCERIES AND BEVERAGES,14,GROCERIES AND BEVERAGES ETC,1,0.97
q3_31,GROWING VEGETABLES FOR SALE,5,GROWING VEGETABLE FOR SALE,2,0.97
q3_31,LEGAL AFFAIRS,1,LEGAL AFFEARS,1,0.969
q3_31,ACCOMMODATION,2,ACCOMONDATION,1,0.969
q3_31,HEALTH CARE SERVICES,5,HEALTHCARE SERVICES,2,0.969
q3_31,GROWING SUGAR,18,GROWING SUGER,1,0.969
q3_31,UPHOLD LAW AND ORDER,1,UPHOLD LAW AN ORDER,1,0.969
q3_31,CONSTRUCTION OF BUILDING,1,"CONSTRUCTION OF BUILFINGS,",1,0.969
q3_31,FISH STRIMP,1,FISH & STRIMP,1,0.969
q3_31,GROWING VEGETABLE TO SELL,1,GROWING VEGETABLES  TO SELL,1,0.969
