variable,type,label,value_set_or_range,pct_missing_raw,pct_missing_cleaned,imputation_treatment,notes
q6_11b,category,Income bracket: NIS pension in the last month,"D) $13,001  $20,000; E) $20,001  $50,000; F) $50,001  $100,000; N) Does not know; O) Does not want to answer",99.78,99.78,Not imputed -- outside assigned cleaning/imputation scope,
q6_12b,category,Income bracket: Old age pension in the last month,O) Does not want to answer,99.98,99.98,Not imputed -- outside assigned cleaning/imputation scope,
q6_13b,category,Income bracket: Service pension in the last month,"E) $20,001  $50,000; F) $50,001  $100,000; G) $100,001  $150,000; H) $150,001  $200,000; N) Does not know; O) Does not want to answer",99.79,99.79,Not imputed -- outside assigned cleaning/imputation scope,
q6_14,Int64,Income for survivors benefit in the last month,-1–500000,53.87,53.87,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_15,Int64,"Income from public assistance in the last month (welfare grants, disability gran",-1–100000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_16,Int64,"Income from rent of a house, land or other property in last 3 months",-1–500000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_17,Int64,"Income from sale of a house, land or other property in last 3 months",-1–200000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_18,Int64,"Income from alimony, maintenance or child support in the last 6 months",-1–1000000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_19,Int64,Income from friends or relatives out of this household living in Guyana in the l,-1–2000000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_20a,Int64,Income (GYD) from relatives or friends living abroad in the last 6 months,-1–800000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_20b,Int64,Income (US$) from relatives or friends living abroad in the last 6 months,-1–120000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_21,Int64,Income from financial investments in the las 12 months,-1–2000000,43.08,43.08,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_22,Int64,Any other income in the last 12 moths,-1–6000000,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_23,category,Received products from relatives/friends living abroad in the las 6 months,No; Yes,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,
q6_24a,Int64,Value (GYD) of products from relatives/friends living abroad in the las 6 months,-1–800000,95.89,95.89,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_24b,Int64,Value (US$) of products from relatives/friends living abroad in the las 6 months,-1–35000,95.89,95.89,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_25,category,Were the questions answered by the individual in question?,No; Yes,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,
isic_section,str,"Derived: ISIC Rev.4 section letter (A-U), from isic_code (clean.py)",21 distinct values,N/A (derived column),65.43,Not imputed -- outside assigned cleaning/imputation scope,
isic_section_label,str,"Derived: full ISIC Rev.4 section title, from isic_section (clean.py)",21 distinct values,N/A (derived column),65.43,Not imputed -- outside assigned cleaning/imputation scope,
isco_major_group,str,"Derived: ISCO-08 major group digit (0-9), from isco_code (clean.py)",10 distinct values,N/A (derived column),65.43,Not imputed -- outside assigned cleaning/imputation scope,
isco_major_group_label,str,"Derived: full ISCO-08 major group title, from isco_major_group (clean.py)",10 distinct values,N/A (derived column),65.43,Not imputed -- outside assigned cleaning/imputation scope,
q1_04_imputed,bool,Flag: True if 'Age' (q1_04) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_03_imputed,bool,Flag: True if 'How many hours do you USUALLY work PER WEEK in your MAIN JOB (the one that takes' (q3_03) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_1_imputed,bool,Flag: True if 'Monday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_1) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_2_imputed,bool,Flag: True if 'Tuesday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_2) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_3_imputed,bool,Flag: True if 'Wednesday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_3) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_4_imputed,bool,Flag: True if 'Thursday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_4) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_5_imputed,bool,Flag: True if 'Friday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_5) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_6_imputed,bool,Flag: True if 'Saturday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_6) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_07_7_imputed,bool,Flag: True if 'Sunday: hours ACTUALLY worked in Main job in last 7 days' (q3_07_7) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
q3_08_imputed,bool,Flag: True if 'Hours ACTUALLY worked in OTHER jobs in last 7 days' (q3_08) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
