hhid,member,panelid,weight,stratum,psu,block,domain,quarter,week,region,area,zone,psu_centroid_lat,psu_centroid_long,q1_02,q1_03,q1_04,q1_05,q1_06,q1_07,q1_08,q1_09,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q2_01,q2_02,q2_03,q2_04,q2_05,q2_06,q2_07,q2_08,q2_09,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q3_01,q3_02,q3_03,q3_04,q3_05,q3_06,q3_07_1,q3_07_2,q3_07_3,q3_07_4,q3_07_5,q3_07_6,q3_07_7,q3_08,q3_09,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_15b,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,isic_code,q3_32,q3_33,isco_code,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q4_01,q4_02,q4_03,q4_04,q4_05,q4_06,q4_07,q4_08,q4_09,q5_01,q5_02,q5_03a,q5_03b,q5_04,q5_05,q5_06,q5_07,q6_01,q6_01b,q6_02a,q6_02b,q6_02c,q6_02d,q6_02e,q6_02f,q6_03a,q6_03b,q6_03c,q6_03d,q6_03e,q6_03f,q6_03g,q6_03h,q6_03i,q6_04a,q6_04b,q6_04c,q6_04d,q6_04e,q6_04f,q6_05a,q6_05b,q6_05c,q6_05d,q6_05e,q6_05f,q6_05g,q6_05h,q6_05i,q6_06,q6_06b,q6_07,q6_08,q6_09,q6_10,q6_11,q6_12,q6_13,q6_11b,q6_12b,q6_13b,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20a,q6_20b,q6_21,q6_22,q6_23,q6_24a,q6_24b,q6_25
02 0106 059 5,2,102,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Female,60,Married,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Primary,Prep A & B/ Grds 1 & 2,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,Housework/ family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 071 6,1,101,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,45,Married,Mixed,Guyana,,Region 2,In another city/village of this Guyana region,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,0,8,8,8,0,,40,,No,,No,,,,Self-employed (without paid help),No,,,,,,,,,,No,No records are kept,3,ROBERT'S MINI MART,CLOTHES,4781,SHOP KEEPER,SELLING THE ITEMS,5221,"Business owned by individual, family or partners",No,,In a market place licensed stall (where goods are removed each day),2 to 4 persons,1 person,5 years or more but less than 10 years,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 071 6,2,102,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Female,39,Married,Mixed,Guyana,,Region 2,In another city/village of this Guyana region,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 3-4,No,,,Yes,,,,,,,,,,,,,,,,,No,,30,,,Full time work is less than 40 hrs/wk,6,6,6,6,6,0,0,,30,,No,,No,,,,Self-employed (without paid help),No,,,,,,,,,,No,No records are kept,3,REONNA'S BOUTIQUE,COLTHING,4782,VENDOR,TO SELL CLOTHES,5211,"Business owned by individual, family or partners","Yes, registered",1 3,In a market place licensed stall (where goods are removed each day),1 person,,5 years or more but less than 10 years,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,30000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 071 6,3,103,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,5,,Mixed,Guyana,,Region 2,In another city/village of this Guyana region,Yes,Yes,Primary,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 083 9,1,101,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,31,Married,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 4/Grd 10,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,8,8,0,8,0,,40,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,Possibily,Yes,No,,3,JOHN'S INVESTMENT,GOLD,0729,EXECAVATOR OPERATOR,OPERATE AN EXCAVATOR,8342,"Business owned by individual, family or partners",Don't know,,As a moving vendor,10 to 19 persons,Don't know,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,350000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 083 9,2,102,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 083 9,3,103,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,3,,East Indian,Guyana,,Region 2,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 083 9,4,104,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,1,,East Indian,Guyana,,Region 2,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 089 4,1,101,25.10257200975717,02 1,02 0106,6,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,45,Divorced,Mixed,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 2/Grd 8,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,24,,,Full time work is less than 40 hrs/wk,0,8,0,0,8,8,0,,24,,Yes,Yes,Yes,In the past 30 days,Tried to get new clients,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,No,No,No,,3,JONNEY'S,PLANTAIN AND VEGETABLES,0113,PORTER,TRANSPORT PLANTAIN,9621,"Business owned by individual, family or partners",No,,"In your home or the business owners home, without separate workspace",2 to 4 persons,None,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,25000,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,500,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 093 6,1,101,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,47,Married,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 3/Grd 9,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,0,8,8,8,0,,40,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Limited time,3 months or more but less than 6 months,Less than 6 months,No,No,No,No,No,No,,3,JACK CONSTRUCTION  LTD,CONSTRUCTION,4100,LABOURER,ASSIST IN DOING ANYTHING ON THE WORKSITE,9313,"Business owned by individual, family or partners",No,,In a construction site,5 to 9 persons,None,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,64000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 093 6,2,102,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Female,39,Married,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,Housework/ family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 093 6,3,103,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,18,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,No,No,99,No,,,No,,,,No,,No,,,"Yes, in the last 7 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,No,,,,,,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 093 6,4,104,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,15,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Secondary,Frm 3/Grd 9,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,In school/ training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student,No,,,,,,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 110 5,1,101,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,49,Widowed,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,Yes,,,,,,,,,,,,,,,,,No,,52,,,,8,8,8,8,8,8,4,,52,,No,,No,,,,Self-employed (without paid help),No,,,,,,,,,,No,Simplified written accounts not for tax purposes,3,ALIM MINI MART,GROCERIES AND BEVERAGES,4711,SHOP KEEPER,SELL,5221,"Business owned by individual, family or partners","Yes, registered",1,"In a fixed shop, store",1 person,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,5000,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 110 5,2,102,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,10,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Primary,Std 2/Grd 4,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 110 5,3,103,25.10257200975717,02 1,02 0106,5,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,6,,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Primary,Prep A & B/ Grds 1 & 2,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 111 4,1,104,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Female,50,Widowed,East Indian,Guyana,,Region 2,In another city/village of this Guyana region,Yes,No,Primary,Std 4/Grd 6,,None,No,,,No,No,99,No,,,No,,,,No,,Yes,Family responsibilities or housework,,"Yes, in the last 7 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Son/Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,8000,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 111 4,2,105,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,27,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Secondary,Frm 4/Grd 10,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,40,,,,8,8,0,8,8,8,0,,40,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Limited time,6 months or more but less than 12 months,Less than 6 months,No,No,No,No,No,No,,3,RAFIEK ENTERPRISE,RICE,0112,LABOURER,DO THINGS AROUND THE WORK SITE,9211,"Business owned by individual, family or partners",Don't know,,In a farm or agricultural plot,20 to 49 persons,5 to 9 persons,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,40000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 111 4,3,106,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,18,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 3-4,No,,,No,No,99,No,,,No,,,,Yes,"Cheched at work sites, markets, etc.",,,6 to 12 months,"Yes, within the next two weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 months and less than 12 months,No,,,,,,,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 111 4,4,107,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,9,,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Primary,Std 1/Grd 3,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 111 4,5,108,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Female,5,,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Primary,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 117 9,1,101,25.10257200975717,02 1,02 0106,4,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,57,Widowed,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 3/Grd 5,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,56,,,,8,8,8,8,8,8,8,,56,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A written contract,Limited time,12 months or more but less than 24 months,3 years or more,No,No,No,No,Yes,No,,3,HOME SAFE AND DOMESTIC SECURITY SERVICE,PROTECTION,8010,SECURITY GUARD,SECURE THE COMPOUND,5414,"Business owned by individual, family or partners",Don't know,,"In a fixed shop, store",50 or more persons,Don't know,10 years or more,Yourself,,,,,,,,,,,,,,,,,,47000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 118 0,1,101,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Female,43,Married,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 4/Grd 6,,None,No,,,No,No,99,No,,,No,,,,No,,Yes,Awaiting replies to earlier enquiries,,"Yes, in the last 7 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,Yes,7,0,Government employee,,Guyana,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,12000,No,,,Yes
02 0106 118 0,2,102,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Male,46,Married,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 4/Grd 6,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,70,,,,10,10,10,10,10,10,10,,70,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,No,No,No,,3,JOHN'S MINING,GOKD AND OTHER MINERALS,0729,LABOURER,ASSIST IN THE WORKSITE,9311,"Business owned by individual, family or partners",Don't know,,"On an empty, private lot",10 to 19 persons,Don't know,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,85000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,No
02 0106 118 0,3,103,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,24,Married,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 3-4,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,0,8,8,8,0,,40,,No,,Yes,In the past 30 days,Asked my boss to work more hours in my current job,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,No,No,No,,3,SHAWN'S CONSTRUCTION SERVICE,CONSTRUCTION,4100,CARPENTER,BUILD AND REPAIR HOMES,7115,"Business owned by individual, family or partners",No,,In a construction site,5 to 9 persons,None,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,80000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 118 0,4,111,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,21,Not Married/ Never lived together,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,No,No,99,No,,,No,,,,No,,Yes,No jobs available in the area,,"Yes, within the next two weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Yes,0,1,Private employee (work for another person or company),,Guyana,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 118 0,5,105,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,19,Married,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 3-4,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,0,8,8,8,0,,40,,No,,Yes,In the past 30 days,Asked my boss to work more hours in my current job,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,No,No,No,,3,SALLY'S CONSTRUCTION LTD,CONSTRUCTION,4100,CARPENTER,BUILD HOUSES,7115,"Business owned by individual, family or partners",Don't know,,In a construction site,5 to 9 persons,None,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,70000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 118 0,6,112,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,16,Not Married/ Never lived together,African/ Black,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 3-4,No,,,No,No,99,No,,,No,,,,Yes,"Cheched at work sites, markets, etc.",,,6 to 12 months,"Yes, within the next two weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 months and less than 12 months,No,,,,,,,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 118 0,7,107,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,5,,African/ Black,Guyana,,Region 2,In this city/village,Yes,Yes,Primary,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 118 0,8,108,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,2,,African/ Black,Guyana,,Region 2,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0106 118 0,9,113,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter-in-law,Female,19,Married,Mixed,Guyana,,Region 2,In another city/village of this Guyana region,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,No,No,99,No,,,No,,,,No,,Yes,Awaiting replies to earlier enquiries,,"Yes, in the last 7 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 118 0,10,110,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter-in-law,Female,18,Married,Mixed,Guyana,,Region 2,In another city/village of this Guyana region,Yes,No,Secondary,Frm 3/Grd 9,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,Housework/ family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,No,,,Yes
02 0106 125 9,1,101,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Head,Male,44,Living together,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 4/Grd 6,,None,No,,,No,No,99,No,,,No,,,,No,,Yes,"Illness, injury or disability",,No,"Illness, injury, disability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to work,Yes,3,0,Self-employed (without paid help),No,Guyana,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7500,0,0,0,0,0,0,0,0,No,,,Yes
02 0106 125 9,2,102,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Spouse/ partner,Female,43,Married,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 4/Grd 6,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,40,,,,8,8,0,8,8,0,0,,32,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A written contract,Permanent without time limit,,,Yes,No,Yes,Possibily,Yes,No,,3,COTTON FIELD SECONDARY SCHOOL,EDUCATION,8521,CLEANER,KEEP THE SURROUNDING CLEAN,9112,Government (Central or Local),,,"In a fixed factory, office",20 to 49 persons,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,54750,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10000,0,0,0,0,No,,,Yes
02 0106 125 9,3,104,25.10257200975717,02 1,02 0106,3,Coast/Urban,174,2,02,Coast,Urban,7.2744093,-58.484707,Son/daughter,Male,14,Not Married/ Never lived together,East Indian,Guyana,,Region 2,In this city/village,Yes,Yes,Secondary,Frm 2/Grd 8,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 0112 001 3,1,101,26.1109967102926,02 1,02 0112,5,Coast/Urban,174,3,02,Coast,Urban,7.2886329,-58.482697,Head,Male,37,Living together,East Indian,Guyana,,Region 2,In this city/village,Yes,No,Secondary,Frm 3/Grd 9,,School leaving,No,,,Yes,,,,,,,,,,,,,,,,,No,,56,,,,8,0,8,8,8,8,0,,40,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Permanent without time limit,,,No,No,No,Possibily,No,No,,3,LIMA ROAD,MECHANIC,4520,MECHANIC,LOOK AFTER COMBINE,7231,"Business owned by individual, family or partners",No,,Other,5 to 9 persons,Don't know,10 years or more,Yourself,,,,,,,,,,,,,,,,,,60000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
